,ts,iteration,max_toughness,candidate_count
0,1711933555.0552342,3,33.58925223,0
1,1711933557.1251662,4,33.58925223,0
2,1711933558.0065958,5,33.58925223,0
3,1711933559.9376054,6,33.58925223,0
4,1711933560.8078742,7,33.58925223,0
5,1711933561.6963322,8,33.58925223,0
6,1711933565.0220666,9,33.58925223,0
7,1711933566.3745234,10,33.58925223,0
8,1711933567.103037,11,33.58925223,0
9,1711933569.7044482,12,33.58925223,0
10,1711933572.449059,13,33.58925223,0
11,1711933575.632392,14,33.58925223,0
12,1711933579.2791917,15,33.58925223,0
13,1711933582.1447656,16,33.58925223,0
14,1711933585.1943703,17,33.58925223,0
15,1711933586.0431604,18,33.58925223,0
16,1711933587.1979904,19,33.58925223,0
17,1711933588.4305909,20,33.58925223,0
18,1711933591.8797421,21,33.58925223,0
19,1711933593.1320632,22,33.58925223,0
20,1711933594.6827884,23,37.23338042666666,1
21,1711933598.2004354,24,37.23338042666666,1
22,1711933602.5863876,25,37.23338042666666,1
23,1711933603.8847451,26,37.23338042666666,1
24,1711933604.8986223,27,37.23338042666666,1
25,1711933606.3209536,28,37.23338042666666,1
26,1711933607.43514,29,37.23338042666666,1
27,1711933612.279423,30,37.23338042666666,1
28,1711933617.0264745,31,37.23338042666666,1
29,1711933621.173642,32,37.23338042666666,1
30,1711933626.0374162,33,37.23338042666666,1
31,1711933629.9975498,34,37.23338042666666,1
32,1711933635.2298071,35,37.23338042666666,1
33,1711933640.800996,36,37.23338042666666,1
34,1711933646.4425821,37,37.23338042666666,1
35,1711933651.5881798,38,37.23338042666666,1
36,1711933657.937404,39,37.23338042666666,1
37,1711933660.048532,40,37.23338042666666,1
38,1711933668.9083965,41,37.23338042666666,1
39,1711933673.495126,42,37.23338042666666,1
40,1711933683.6678476,43,37.23338042666666,1
41,1711933693.7192726,44,37.23338042666666,1
42,1711933703.6977956,45,37.23338042666666,1
43,1711933713.8616738,46,37.23338042666666,1
44,1711933724.3562107,47,37.23338042666666,1
45,1711933735.624693,48,37.23338042666666,1
46,1711933742.2617037,49,37.23338042666666,1
47,1711933750.4198456,50,37.23338042666666,1
48,1711933758.938847,51,37.23338042666666,1
49,1711933767.698089,52,37.23338042666666,1
50,1711933776.960227,53,37.23338042666666,1
51,1711933780.888527,54,37.23338042666666,1
52,1711933784.627755,55,37.23338042666666,1
53,1711933793.3779385,56,37.23338042666666,1
54,1711933803.250241,57,37.23338042666666,1
55,1711933813.9238448,58,37.23338042666666,1
56,1711933824.520466,59,37.23338042666666,1
57,1711933827.36051,60,37.23338042666666,1
58,1711933830.8217304,61,37.23338042666666,1
59,1711933833.9657366,62,37.23338042666666,2
60,1711933838.545457,63,37.23338042666666,2
61,1711933849.9126444,64,37.23338042666666,2
62,1711933860.9617164,65,37.23338042666666,2
63,1711933871.6372514,66,37.23338042666666,2
64,1711933883.3331037,67,37.23338042666666,2
65,1711933895.4522257,68,37.23338042666666,2
66,1711933908.5283523,69,37.23338042666666,2
67,1711933921.07925,70,37.23338042666666,2
68,1711933933.703489,71,37.23338042666666,2
69,1711933945.6475239,72,37.23338042666666,2
70,1711933958.471686,73,37.23338042666666,2
71,1711933962.5216827,74,37.23338042666666,2
72,1711933975.7340584,75,37.23338042666666,2
73,1711933991.3805888,76,37.23338042666666,2
74,1711934003.8107097,77,37.23338042666666,2
75,1711934008.8485627,78,37.23338042666666,2
76,1711934023.7260382,79,37.23338042666666,2
77,1711934029.3273325,80,37.23338042666666,3
78,1711934042.9650052,81,37.23338042666666,3
79,1711934058.8772113,82,37.23338042666666,3
80,1711934077.8233428,83,37.23338042666666,3
81,1711934082.588512,84,37.23338042666666,3
82,1711934108.8354332,85,37.23338042666666,3
83,1711934116.1648726,86,37.23338042666666,3
84,1711934136.1171324,87,37.23338042666666,3
85,1711934142.9690304,88,37.23338042666666,3
86,1711934163.1605704,89,37.23338042666666,3
87,1711934186.8448942,90,37.23338042666666,3
88,1711934209.2925637,91,37.23338042666666,3
89,1711934232.2189045,92,37.23338042666666,3
90,1711934239.9778848,93,37.23338042666666,3
91,1711934247.3808997,94,37.23338042666666,3
92,1711934274.0606182,95,37.23338042666666,3
93,1711934298.623245,96,37.23338042666666,3
94,1711934326.0692003,97,37.23338042666666,3
95,1711934351.1825619,98,37.23338042666666,3
96,1711934379.901129,99,37.23338042666666,3
97,1711934406.4703379,100,37.23338042666666,3
98,1711934414.8212376,101,37.23338042666666,4
99,1711934420.4183006,102,37.23338042666666,4
100,1711934453.3924723,103,37.23338042666666,4
101,1711934483.2639294,104,37.23338042666666,4
102,1711934495.2194824,105,37.23338042666666,4
103,1711934502.3407936,106,39.7673149,5
104,1711934536.7064745,107,39.7673149,5
105,1711934570.38001,108,39.7673149,5
106,1711934598.9251497,109,39.7673149,5
107,1711934628.9003053,110,39.7673149,5
108,1711934636.9129395,111,39.7673149,5
109,1711934649.2464807,112,39.7673149,5
110,1711934660.174088,113,39.7673149,6
111,1711934671.9111872,114,39.7673149,6
112,1711934717.437616,115,39.7673149,6
113,1711934754.0672054,116,39.7673149,6
114,1711934799.6271694,117,39.7673149,6
115,1711934811.5482547,118,39.7673149,6
116,1711934822.0369995,119,39.7673149,6
117,1711934860.6715765,120,39.7673149,6
118,1711934907.6073194,121,39.7673149,6
119,1711934951.3691163,122,39.7673149,6
120,1711934967.6397727,123,39.7673149,6
121,1711934986.4899049,124,39.7673149,6
122,1711935031.9429028,125,39.7673149,6
123,1711935044.1843636,126,39.7673149,6
124,1711935100.8291044,127,39.7673149,6
125,1711935159.6783693,128,39.7673149,6
126,1711935211.99129,129,39.7673149,6
127,1711935263.125761,130,39.7673149,6
128,1711935332.797362,131,39.7673149,6
129,1711935384.486703,132,39.7673149,6
130,1711935443.8963592,133,39.7673149,6
131,1711935487.7671077,134,39.7673149,6
132,1711935541.6921446,135,39.7673149,6
133,1711935560.2895117,136,39.7673149,6
134,1711935628.314536,137,39.7673149,6
135,1711935644.2096171,138,39.7673149,6
136,1711935701.6501408,139,39.7673149,6
137,1711935755.3813043,140,39.7673149,6
138,1711935785.0177176,141,39.7673149,6
139,1711935842.4065788,142,39.7673149,6
140,1711935907.267489,143,39.7673149,6
141,1711935933.412033,144,39.7673149,6
142,1711935999.9209857,145,39.7673149,6
143,1711936066.6323454,146,39.7673149,6
144,1711936132.9937332,147,39.7673149,6
145,1711936159.9605527,148,39.7673149,6
146,1711936187.0026717,149,39.7673149,6
147,1711936263.4235978,150,39.7673149,6
148,1711936333.1895862,151,39.7673149,6
149,1711936408.0737612,152,39.7673149,6
150,1711936486.4857464,153,39.7673149,6
151,1711936558.9923043,154,39.7673149,6
152,1711936642.4906034,155,39.7673149,6
153,1711936714.2736535,156,39.7673149,6
154,1711936796.4332569,157,39.7673149,6
155,1711936817.5257125,158,39.7673149,6
156,1711936843.6964362,159,39.7673149,6
157,1711936931.8186145,160,39.7673149,6
158,1711937022.6513681,161,39.7673149,6
159,1711937102.5527365,162,39.7673149,6
160,1711937132.9385083,163,39.7673149,6
161,1711937217.5561519,164,39.7673149,6
162,1711937311.4702213,165,39.7673149,6
163,1711937390.194121,166,39.7673149,6
164,1711937491.1221485,167,39.7673149,6
165,1711937512.7861269,168,39.7673149,6
166,1711937606.190448,169,39.7673149,6
167,1711937697.7684164,170,39.7673149,6
168,1711937793.3023531,171,39.7673149,6
169,1711937890.9762025,172,39.7673149,6
170,1711937919.6413543,173,39.7673149,6
171,1711938022.450131,174,39.7673149,6
172,1711938061.2425685,175,39.7673149,6
173,1711938086.321356,176,39.7673149,6
174,1711938202.9096842,177,39.7673149,6
175,1711938286.959517,178,39.7673149,6
176,1711938395.4247198,179,39.7673149,6
177,1711938498.8215334,180,39.7673149,6
178,1711938539.0850172,181,39.7673149,6
179,1711938659.1018794,182,39.7673149,6
180,1711938776.7007594,183,39.7673149,6
181,1711938897.0722086,184,39.7673149,6
